club_ID,club_Name,address,city,state,country,zip_code,timestampUpdated,course_ID,course_Name,num_Holes,has_GPS
1.42E+17,Faulkwood Shores Golf Course,300 S Hughes Rd,Howell,MI,USA,48843,1690344241,1.21E+18,Faulkwood Shores,18,1
1.42E+17,Ironwood Golf Club,6902 Highland Rd,Howell,MI,USA,48843,1730297711,1.21E+19,Ironwood,18,1
1.42E+17,Hawk Meadows at Dama Farms,410 E Marr Rd,Howell,MI,USA,48855,1689413743,1.21E+19,Hawk Meadows at Dama Farms,18,1
1.42E+17,Hunters Ridge Golf Course,8101 Byron Rd,Howell,MI,USA,48855,1712309700,1.21E+19,Hunters Ridge,18,1
1.42E+17,Gleneagle Golf Club,6150 14th Ave,Hudsonville,MI,USA,49426,1685794432,1.21E+19,18-hole course,18,1
1.26E+12,Rackham Golf Course,10100 W. 10 Mile Road,Huntington Woods,Mi,USA,48070,1618417145,1.21E+14,18-hole course,18,1
1.26E+12,Rackham Golf Course,10100 W. 10 Mile Road,Huntington Woods,Mi,USA,48070,1618417145,1.21E+16,Rackham,18,0
1.42E+17,Indian River Golf Club,3301 Cippewa Beach Rd,Indian River,MI,USA,49749,1713872659,1.21E+19,Indian River,18,1
1.42E+17,Inkster Valley Golf Club,2150 Middlebelt Rd,Inkster,MI,USA,48141,1697171898,1.21E+19,Inkster Valley,18,1
1.42E+17,Interlochen Golf Club,10586 US Hwy 31 S,Interlochen,MI,USA,49643,1697264988,1.21E+19,Interlochen,18,1
1.42E+17,Rolling Hills Golf Course - Ionia,1431 Kelsey Highway,Ionia,MI,USA,48846,1618417179,1.11E+19,Rolling Hills Estates,9,0
1.42E+17,Pine Grove Country Club,1520 Hughitt St,Iron Mountain,MI,USA,49801,1725376819,1.21E+19,Pine Grove,18,1
1.42E+17,TimberStone Golf Course,1 TimberStone Dr,Iron Mountain,MI,USA,49801,1618417180,1.21E+19,TimberStone,18,1
1.42E+17,Gogebic Country Club,200 Country Club Rd,Ironwood,MI,USA,49938,1692345341,1.21E+19,Gogebic,18,1
1.42E+17,Gratiot Country Club,1508 N State Rd,Ithaca,MI,USA,48847,1687626465,1.21E+19,The Fields,18,1
1.42E+17,North Star Golf & Country Club,4550 S Bagley Rd,Ithaca,MI,USA,48847,1707372988,1.21E+19,North Star,18,1
1.26E+12,North Star Golf Course,4550 South Bagley Road,Ithaca,MI,USA,48847,1735285363,1.21E+14,North Star Golf Course,18,1
1.42E+17,Arbor Hills Country Club,1426 Arbor Hills Rd,Jackson,MI,USA,49201,1677748430,1.21E+14,18-hole course,18,1
1.42E+17,Hickory Hills Golf Club,2537 Parview Drive,Jackson,MI,USA,49201,1721395645,1.11E+18,Blue,9,1
1.42E+17,Hickory Hills Golf Club,2537 Parview Drive,Jackson,MI,USA,49201,1676865931,1.21E+19,Blue/Maize,18,0
1.42E+17,Hickory Hills Golf Club,2537 Parview Drive,Jackson,MI,USA,49201,1618417179,1.21E+19,Green/White,18,0
1.42E+17,Hickory Hills Golf Club,2537 Parview Drive,Jackson,MI,USA,49201,1721637569,1.11E+19,Maize,9,1
1.42E+17,Hickory Hills Golf Club,2537 Parview Drive,Jackson,MI,USA,49201,1721636681,1.11E+19,Green,9,1
1.42E+17,Hickory Hills Golf Club,2537 Parview Drive,Jackson,MI,USA,49201,1721637459,1.11E+19,White,9,1
1.42E+17,Lakeland Hills Golf Course,5119 Page Ave,Jackson,MI,USA,49201,1716391633,1.21E+18,Lakeland Hills,18,1
1.42E+17,Pine Hollow Golf Club,5400 Trailer Park Dr,Jackson,MI,USA,49201,1725570954,1.21E+18,Pine Hollow,18,1
1.42E+17,The Grande Golf Club,1579 Floyd Ave,Jackson,MI,USA,49201,1618417179,1.21E+19,The Grande,18,0
1.42E+17,Cascades Golf Club,1992 Warren Ave,Jackson,MI,USA,49203,1667569011,1.21E+14,18-hole course,18,1
1.42E+17,Country Club of Jackson,3135 Horton Rd,Jackson,MI,USA,49203,1681822021,1.11E+19,Marsh + Marsh,18,1
1.42E+17,Country Club of Jackson,3135 Horton Rd,Jackson,MI,USA,49203,1681822021,1.21E+19,Marsh + Pines,18,1
1.42E+17,Country Club of Jackson,3135 Horton Rd,Jackson,MI,USA,49203,1681822021,1.31E+19,Marsh + Woods,18,1
1.42E+17,Country Club of Jackson,3135 Horton Rd,Jackson,MI,USA,49203,1681822021,2.11E+19,Pines + Marsh,18,1
1.42E+17,Country Club of Jackson,3135 Horton Rd,Jackson,MI,USA,49203,1681822021,2.21E+19,Pines + Pines,18,1
1.42E+17,Country Club of Jackson,3135 Horton Rd,Jackson,MI,USA,49203,1681822021,2.31E+19,Pines + Woods,18,1
